county,town,precinct,office,district,candidate,party,votes
ADDISON,BRISTOL,ADD-4,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,539
ORANGE,BROOKFIELD,ORA-WAS-ADD,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,230
WINDHAM,BROOKLINE,WDH-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,65
ORLEANS,BROWNINGTON,ORL-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,144
ESSEX,BRUNSWICK,ESX-CAL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,23
CALEDONIA,BURKE,CAL-4,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,287
CHITTENDEN,BURLINGTON,CHI-6-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,832
CHITTENDEN,BURLINGTON,CHI-6-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,310
CHITTENDEN,BURLINGTON,CHI-6-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,292
CHITTENDEN,BURLINGTON,CHI-6-4,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,198
CHITTENDEN,BURLINGTON,CHI-6-5,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,525
CHITTENDEN,BURLINGTON,CHI-6-6,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,134
CHITTENDEN,BURLINGTON,CHI-6-7,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,16
WASHINGTON,CABOT,CAL-WAS,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,220
WASHINGTON,CALAIS,WAS-6,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,154
LAMOILLE,CAMBRIDGE,LAM-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,528
ESSEX,CANAAN,ESX-CAL-ORL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,151
RUTLAND,CASTLETON,RUT-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,708
WINDSOR,CAVENDISH,WDR-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,234
ORLEANS,CHARLESTON,ORL-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,164
CHITTENDEN,CHARLOTTE,CHI-4-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,553
ORANGE,CHELSEA,ORA-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,228
WINDSOR,CHESTER,WDR-3-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,481
RUTLAND,CHITTENDEN,RUT-WDR-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,274
RUTLAND,CLARENDON,RUT-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,545
CHITTENDEN,COLCHESTER,CHI-9-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,827
CHITTENDEN,COLCHESTER,CHI-9-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,1328
ESSEX,CONCORD,ESX-CAL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,223
ORANGE,CORINTH,ORA-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,227
ADDISON,CORNWALL,ADD-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,152
ORLEANS,COVENTRY,ORL-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,183
ORLEANS,CRAFTSBURY,ORL-CAL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,130
RUTLAND,DANBY,BEN-RUT,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,240
CALEDONIA,DANVILLE,CAL-WAS,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,418
ORLEANS,DERBY,ORL-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,804
BENNINGTON,DORSET,BEN-RUT,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,342
WINDHAM,DOVER,WDH-BEN,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,281
WINDHAM,DUMMERSTON,WDH-4,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,246
WASHINGTON,DUXBURY,WAS-7,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,191
ESSEX,EAST HAVEN,ESX-CAL-ORL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,49
WASHINGTON,EAST MONTPELIER,WAS-5,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,283
LAMOILLE,EDEN,ORL-LAM,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,175
LAMOILLE,ELMORE,LAM-WAS,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,133
FRANKLIN,ENOSBURGH,FRA-7,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,414
CHITTENDEN,ESSEX,CHI-8-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,1245
CHITTENDEN,ESSEX,CHI-8-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,1245
CHITTENDEN,ESSEX,CHI-8-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,393
RUTLAND,FAIR HAVEN,RUT-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,450
FRANKLIN,FAIRFAX,FRA-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,863
FRANKLIN,FAIRFIELD,FRA-6,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,318
ORANGE,FAIRLEE,ORA-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,131
WASHINGTON,FAYSTON,WAS-7,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,169
ADDISON,FERRISBURGH,ADD-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,492
FRANKLIN,FLETCHER,FRA-6,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,222
FRANKLIN,FRANKLIN,FRA-5,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,260
FRANKLIN,GEORGIA,FRA-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,900
ORLEANS,GLOVER,ORL-CAL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,177
ADDISON,GOSHEN,ADD-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,35
WINDHAM,GRAFTON,WDH-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,119
ESSEX,GRANBY,ESX-CAL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,22
GRAND ISLE,GRAND ISLE,GI-CHI,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,397
ADDISON,GRANVILLE,ORA-WAS-ADD,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,20
ORLEANS,GREENSBORO,ORL-CAL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,74
CALEDONIA,GROTON,ORA-CAL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,188
ESSEX,GUILDHALL,ESX-CAL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,62
WINDHAM,GUILFORD,WDH-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,267
WINDHAM,HALIFAX,WDH-6,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,132
ADDISON,HANCOCK,ADD-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,50
CALEDONIA,HARDWICK,CAL-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,390
WINDSOR,HARTFORD,WDR-4-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,318
WINDSOR,HARTFORD,WDR-4-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,803
WINDSOR,HARTLAND,WDR-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,477
FRANKLIN,HIGHGATE,FRA-5,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,572
CHITTENDEN,HINESBURG,CHI-4-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,3
CHITTENDEN,HINESBURG,CHI-4-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,626
ORLEANS,HOLLAND,ORL-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,141
RUTLAND,HUBBARDTON,RUT-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,135
CHITTENDEN,HUNTINGTON,WAS-CHI,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,220
LAMOILLE,HYDE PARK,LAM-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,415
RUTLAND,IRA,RUT-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,96
ORLEANS,IRASBURG,ORL-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,238
GRAND ISLE,ISLE LA MOTTE,GI-CHI,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,120
WINDHAM,JAMAICA,WDH-BEN-WDR,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,108
ORLEANS,JAY,ORL-LAM,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,92
CHITTENDEN,JERICHO,CHI-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,835
LAMOILLE,JOHNSON,LAM-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,370
RUTLAND,KILLINGTON,RUT-WDR-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,223
CALEDONIA,KIRBY,ESX-CAL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,96
BENNINGTON,LANDGROVE,BEN-RUT,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,30
ADDISON,LEICESTER,ADD-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,177
ESSEX,LEMINGTON,ESX-CAL-ORL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,19
ADDISON,LINCOLN,ADD-4,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,180
WINDHAM,LONDONDERRY,WDH-BEN-WDR,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,280
ORLEANS,LOWELL,ORL-LAM,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,175
WINDSOR,LUDLOW,RUT-WDR-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,383
ESSEX,LUNENBURG,ESX-CAL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,214
CALEDONIA,LYNDON,CAL-4,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,758
ESSEX,MAIDSTONE,ESX-CAL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,54
BENNINGTON,MANCHESTER,BEN-4,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,709
WINDHAM,MARLBORO,WDH-5,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,72
WASHINGTON,MARSHFIELD,WAS-6,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,221
RUTLAND,MENDON,RUT-WDR-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,250
ADDISON,MIDDLEBURY,ADD-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,643
WASHINGTON,MIDDLESEX,WAS-5,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,198
RUTLAND,MIDDLETOWN SPRINGS,RUT-BEN,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,169
CHITTENDEN,MILTON,CHI-10,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,1699
CHITTENDEN,MILTON,GI-CHI,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,310
ADDISON,MONKTON,ADD-4,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,341
FRANKLIN,MONTGOMERY,FRA-7,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,203
WASHINGTON,MONTPELIER,WAS-4,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,455
WASHINGTON,MORETOWN,WAS-7,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,204
ORLEANS,MORGAN,ORL-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,153
LAMOILLE,MORRISTOWN,LAM-WAS,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,704
RUTLAND,MOUNT HOLLY,RUT-WDR-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,291
RUTLAND,MOUNT TABOR,BEN-RUT,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,35
ADDISON,NEW HAVEN,ADD-5,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,336
CALEDONIA,NEWARK,ESX-CAL-ORL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,114
ORANGE,NEWBURY,ORA-CAL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,321
WINDHAM,NEWFANE,WDH-5,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,221
ORLEANS,NEWPORT CITY,ORL-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,536
ORLEANS,NEWPORT TOWN,ORL-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,248
GRAND ISLE,NORTH HERO,GI-CHI,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,228
WASHINGTON,NORTHFIELD,WAS-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,587
ESSEX,NORTON,ESX-CAL-ORL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,38
WINDSOR,NORWICH,WDR-ORA-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,251
ORANGE,ORANGE,ORA-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,189
ADDISON,ORWELL,ADD-RUT,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,300
ADDISON,PANTON,ADD-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,111
RUTLAND,PAWLET,RUT-BEN,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,286
CALEDONIA,PEACHAM,CAL-WAS,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,109
BENNINGTON,PERU,BEN-RUT,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,50
RUTLAND,PITTSFIELD,WDR-RUT,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,112
RUTLAND,PITTSFORD,RUT-6,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,566
WASHINGTON,PLAINFIELD,WAS-6,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,113
WINDSOR,PLYMOUTH,WDR-5,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,99
WINDSOR,POMFRET,WDR-4-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,130
RUTLAND,POULTNEY,RUT-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,507
BENNINGTON,POWNAL,BEN-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,552
RUTLAND,PROCTOR,RUT-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,290
WINDHAM,PUTNEY,WDH-4,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,202
ORANGE,RANDOLPH,ORA-WAS-ADD,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,697
WINDSOR,READING,WDR-5,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,121
BENNINGTON,READSBORO,WDH-BEN,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,140
FRANKLIN,RICHFORD,FRA-5,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,261
CHITTENDEN,RICHMOND,CHI-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,533
ADDISON,RIPTON,ADD-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,55
WINDSOR,ROCHESTER,WDR-RUT,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,157
WINDHAM,ROCKINGHAM,WDH-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,448
WASHINGTON,ROXBURY,ORA-WAS-ADD,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,92
WINDSOR,ROYALTON,WDR-ORA-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,351
BENNINGTON,RUPERT,RUT-BEN,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,131
RUTLAND,RUTLAND CITY,RUT-5-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,707
RUTLAND,RUTLAND CITY,RUT-5-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,536
RUTLAND,RUTLAND CITY,RUT-5-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,395
RUTLAND,RUTLAND CITY,RUT-5-4,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,518
RUTLAND,RUTLAND TOWN,RUT-4,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,880
CALEDONIA,RYEGATE,CAL-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,168
ADDISON,SALISBURY,ADD-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,183
BENNINGTON,SANDGATE,BEN-4,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,73
BENNINGTON,SEARSBURG,WDH-BEN,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,20
BENNINGTON,SHAFTSBURY,BEN-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,615
WINDSOR,SHARON,WDR-ORA-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,207
CALEDONIA,SHEFFIELD,ORL-CAL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,115
CHITTENDEN,SHELBURNE,CHI-5-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,513
CHITTENDEN,SHELBURNE,CHI-5-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,502
FRANKLIN,SHELDON,FRA-4,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,316
ADDISON,SHOREHAM,ADD-RUT,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,214
RUTLAND,SHREWSBURY,RUT-WDR-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,214
CHITTENDEN,SOUTH BURLINGTON,CHI-7-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,459
CHITTENDEN,SOUTH BURLINGTON,CHI-7-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,687
CHITTENDEN,SOUTH BURLINGTON,CHI-7-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,488
CHITTENDEN,SOUTH BURLINGTON,CHI-7-4,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,493
GRAND ISLE,SOUTH HERO,GI-CHI,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,309
WINDSOR,SPRINGFIELD,WDR-3-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,42
WINDSOR,SPRINGFIELD,WDR-3-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,1145
FRANKLIN,SAINT ALBANS CITY,FRA-3-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,667
FRANKLIN,SAINT ALBANS TOWN,FRA-3-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,398
FRANKLIN,SAINT ALBANS TOWN,FRA-3-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,798
CHITTENDEN,SAINT GEORGE,CHI-5-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,119
CALEDONIA,SAINT JOHNSBURY,CAL-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,931
BENNINGTON,STAMFORD,WDH-BEN,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,178
CALEDONIA,STANNARD,CAL-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,15
ADDISON,STARKSBORO,ADD-4,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,249
WINDSOR,STOCKBRIDGE,WDR-RUT,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,112
LAMOILLE,STOWE,LAM-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,709
ORANGE,STRAFFORD,WDR-ORA-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,94
WINDHAM,STRATTON,WDH-BEN-WDR,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,48
RUTLAND,SUDBURY,RUT-6,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,102
BENNINGTON,SUNDERLAND,BEN-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,33
BENNINGTON,SUNDERLAND,BEN-4,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,138
CALEDONIA,SUTTON,CAL-4,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,162
FRANKLIN,SWANTON,FRA-4,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,978
ORANGE,THETFORD,WDR-ORA-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,292
RUTLAND,TINMOUTH,RUT-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,21
RUTLAND,TINMOUTH,RUT-BEN,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,78
ORANGE,TOPSHAM,ORA-CAL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,196
WINDHAM,TOWNSHEND,WDH-5,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,169
ORLEANS,TROY,ORL-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,79
ORLEANS,TROY,ORL-LAM,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,157
ORANGE,TUNBRIDGE,WDR-ORA-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,222
CHITTENDEN,UNDERHILL,CHI-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,509
ADDISON,VERGENNES,ADD-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,331
WINDHAM,VERNON,WDH-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,443
ORANGE,VERSHIRE,ORA-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,99
ESSEX,VICTORY,ESX-CAL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,30
WASHINGTON,WAITSFIELD,WAS-7,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,215
CALEDONIA,WALDEN,CAL-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,161
RUTLAND,WALLINGFORD,RUT-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,389
ADDISON,WALTHAM,ADD-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,85
WINDHAM,WARDSBORO,WDH-BEN,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,123
WASHINGTON,WARREN,WAS-7,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,218
ORANGE,WASHINGTON,ORA-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,175
WASHINGTON,WATERBURY,WAS-CHI,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,564
CALEDONIA,WATERFORD,CAL-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,297
LAMOILLE,WATERVILLE,LAM-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,152
WINDSOR,WEATHERSFIELD,WDR-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,538
RUTLAND,WELLS,RUT-BEN,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,253
ORANGE,WEST FAIRLEE,ORA-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,84
RUTLAND,WEST HAVEN,RUT-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,51
RUTLAND,WEST RUTLAND,RUT-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,417
WINDSOR,WEST WINDSOR,WDR-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,205
ORLEANS,WESTFIELD,ORL-LAM,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,102
CHITTENDEN,WESTFORD,CHI-8-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,338
WINDHAM,WESTMINSTER,WDH-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,21
WINDHAM,WESTMINSTER,WDH-4,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,287
ORLEANS,WESTMORE,ESX-CAL-ORL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,82
WINDSOR,WESTON,WDH-BEN-WDR,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,113
ADDISON,WEYBRIDGE,ADD-5,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,107
CALEDONIA,WHEELOCK,ORL-CAL,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,138
ADDISON,WHITING,ADD-RUT,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,62
WINDHAM,WHITINGHAM,WDH-6,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,215
WINDHAM,WHITINGHAM,WDH-BEN,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,15
ORANGE,WILLIAMSTOWN,ORA-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,525
CHITTENDEN,WILLISTON,CHI-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,1489
WINDHAM,WILMINGTON,WDH-6,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,304
WINDHAM,WINDHAM,WDH-3,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,61
WINDSOR,WINDSOR,WDR-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,422
BENNINGTON,WINHALL,WDH-BEN-WDR,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,152
CHITTENDEN,WINOOSKI,CHI-6-7,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,475
LAMOILLE,WOLCOTT,LAM-2,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,218
WASHINGTON,WOODBURY,LAM-WAS,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,153
BENNINGTON,WOODFORD,BEN-1,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,44
WINDSOR,WOODSTOCK,WDR-5,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,410
WASHINGTON,WORCESTER,LAM-WAS,STATE TREASURER,,RICHARD MORTON,REPUBLICAN,97
RUTLAND,KILLINGTON,RUT-WDR-1,STATE TREASURER,,ERICA HODULIK,Write-in,1
WASHINGTON,DUXBURY,WAS-7,STATE TREASURER,,AMY LAVERY,Write-in,1
WINDHAM,LONDONDERRY,WDH-BEN-WDR,STATE TREASURER,,RICHARD KENYON,Write-in,1
ORLEANS,GREENSBORO,ORL-CAL,STATE TREASURER,,TOM HILL,Write-in,1
BENNINGTON,DORSET,BEN-RUT,STATE TREASURER,,ARNIE GOTTLIEB,Write-in,1
FRANKLIN,SWANTON,FRA-4,STATE TREASURER,,SPOLED,Write-in,1
FRANKLIN,SWANTON,FRA-4,STATE TREASURER,,TODD RUTTURA,Write-in,1
WINDSOR,READING,WDR-5,STATE TREASURER,,EDWIN ROYCE,Write-in,1
ORLEANS,CHARLESTON,ORL-1,STATE TREASURER,,MURRAY NGOIMA,Write-in,1
ORLEANS,CHARLESTON,ORL-1,STATE TREASURER,,ANYA TYNIO,Write-in,1
ORANGE,NEWBURY,ORA-CAL,STATE TREASURER,,BOOTS WARDINSKI,Write-in,1
ORLEANS,MORGAN,ORL-1,STATE TREASURER,,JULIANE KILBURN,Write-in,1
ORANGE,TOPSHAM,ORA-CAL,STATE TREASURER,,GWEN HALLSWORTH,Write-in,1
LAMOILLE,HYDE PARK,LAM-2,STATE TREASURER,,MICHAEL BARD,Write-in,1
WINDSOR,WINDSOR,WDR-1,STATE TREASURER,,ERIC SALTONSTALL,Write-in,1
WINDSOR,WINDSOR,WDR-1,STATE TREASURER,,JOSEPH AMBROSE,Write-in,1
WINDSOR,ROCHESTER,WDR-RUT,STATE TREASURER,,MASON WADE,Write-in,1
ORANGE,CORINTH,ORA-1,STATE TREASURER,,DARREN PESTKA,Write-in,1
WASHINGTON,WARREN,WAS-7,STATE TREASURER,,ERIC GALLOW,Write-in,1
